MAC;IMU;TIME;INDEX;QUATERNION_0;QUATERNION_1;QUATERNION_2;QUATERNION_3;ACCEL_ADXL355_0;ACCEL_ADXL355_1;ACCEL_ADXL355_2;ACCEL_BMI160_0;ACCEL_BMI160_1;ACCEL_BMI160_2;GYRO_0;GYRO_1;GYRO_2;GYRO_ECC_0;GYRO_ECC_1;GYRO_ECC_2
18:04:ED:C4:75:1A;imu9;1655928839649353;154;0.000000;0.000000;0.000000;0.000000;-0.058125;10.159375;0.251250;-0.247500;10.276250;0.182500;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839664337;155;0.000000;0.000000;0.000000;0.000000;-0.033125;10.149375;0.267500;-0.250000;10.278750;0.219375;-0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839671858;156;0.000000;0.000000;0.000000;0.000000;-0.053125;10.150000;0.257500;-0.244375;10.283750;0.192500;0.000000;0.001065;-0.002131;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839679372;157;0.000000;0.000000;0.000000;0.000000;-0.038125;10.179375;0.289375;-0.265625;10.285000;0.188750;-0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839694359;158;0.000000;0.000000;0.000000;0.000000;-0.097500;10.153125;0.243125;-0.243125;10.265000;0.207500;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839701795;159;0.000000;0.000000;0.000000;0.000000;-0.008750;10.175625;0.253125;-0.232500;10.279375;0.201875;-0.001065;-0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839709292;160;0.000000;0.000000;0.000000;0.000000;-0.031875;10.164375;0.260000;-0.225000;10.274375;0.230000;-0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839724150;161;0.000000;0.000000;0.000000;0.000000;-0.082500;10.150625;0.257500;-0.231875;10.261250;0.190625;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839731660;162;0.000000;0.000000;0.000000;0.000000;-0.030000;10.172500;0.285625;-0.261250;10.276875;0.185625;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839739088;163;0.000000;0.000000;0.000000;0.000000;-0.046250;10.150625;0.251875;-0.247500;10.275625;0.176875;-0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839754110;164;0.000000;0.000000;0.000000;0.000000;-0.060000;10.154375;0.263125;-0.235000;10.280000;0.218750;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839761675;165;0.000000;0.000000;0.000000;0.000000;-0.034375;10.165000;0.283125;-0.255000;10.260000;0.184375;0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839769170;166;0.000000;0.000000;0.000000;0.000000;-0.065000;10.176250;0.258750;-0.248750;10.275000;0.179375;-0.001065;0.000000;0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839784411;167;0.000000;0.000000;0.000000;0.000000;-0.062500;10.143125;0.246250;-0.239375;10.266250;0.198125;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839791862;168;0.000000;0.000000;0.000000;0.000000;-0.031250;10.161250;0.250625;-0.253125;10.273125;0.195000;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839799353;169;0.000000;0.000000;0.000000;0.000000;-0.036875;10.160625;0.268750;-0.254375;10.279375;0.192500;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839814365;170;0.000000;0.000000;0.000000;0.000000;-0.064375;10.160000;0.271250;-0.246250;10.288125;0.210625;0.000000;0.001065;-0.001065;0;0;0
